original_url,working_url,status_code,notes
http://www.algonquinhighlands.ca/municipal-services/employment-and-volunteer-opportunities,https://www.algonquinhighlands.ca/municipal-services/employment-and-volunteer-opportunities,200,URL variant resolved successfully.
http://www.bayham.on.ca/municipal-office/career-opportunities,https://www.bayham.on.ca/municipal-office/career-opportunities,200,URL variant resolved successfully.
http://www.census.gc.ca/jobs,https://www.census.gc.ca/en/jobs,200,URL variant resolved successfully.
http://www.hbmtwp.ca/township-services/careers-and-volunteering,https://www.hbmtwp.ca/township-services/careers-and-volunteering,200,URL variant resolved successfully.
http://www.kapuskasing.ca/council-administration/employment-opportunities,https://www.kapuskasing.ca/council-administration/employment-opportunities,200,URL variant resolved successfully.
http://www.stirling-rawdon.com/business-development/careers,https://www.stirling-rawdon.com/business-development/careers,200,URL variant resolved successfully.
http://www.twpbrm.ca/your-township-government/employment-opportunities,https://www.twpbrm.ca/your-township-government/employment-opportunities,200,URL variant resolved successfully.
https://myavanti.ca/WorkAtWelland,https://welland.myavanti.ca/careers,200,URL variant resolved successfully.
https://www.belleville.ca/en/city-hall/employmentopportunities.aspx,https://www.belleville.ca/council-and-administration/careers,200,URL variant resolved successfully.
https://www.census.gc.ca/jobs,https://www.census.gc.ca/en/jobs,200,URL variant resolved successfully.
https://www.centralhuron.ca/careers-and-volunteer-opportunities,https://www.centralhuron.ca/careers,200,URL variant resolved successfully.
https://www.leamington.ca/en/municipal-services/careers.aspx?_mid_=5301,https://www.leamington.ca/municipal-services/careers?_mid_=5301,200,URL variant resolved successfully.
